[ 0.03102502  0.96897495],1,1
[  4.96326305e-04   9.99503613e-01],1,1
[ 0.79075235  0.20924759],0,0
[ 0.02012405  0.97987592],1,1
[ 0.99870265  0.00129737],0,0
[ 0.02406947  0.97593051],1,1
[  9.36628145e-04   9.99063432e-01],1,1
[ 0.8143943  0.1856057],0,0
[ 0.02983873  0.97016126],1,1
[  4.42402466e-04   9.99557555e-01],1,1
[ 0.00993549  0.99006456],1,1
[ 0.90239644  0.09760359],0,0
[ 0.99182945  0.00817058],0,0
[ 0.99447578  0.00552427],0,0
[ 0.6171208   0.38287923],0,0
[ 0.42277429  0.57722563],1,1
[  5.15920809e-04   9.99484062e-01],1,1
[ 0.98954153  0.01045843],0,0
[ 0.00217583  0.99782419],1,1
[ 0.0022757   0.99772435],1,1
[ 0.00229279  0.99770725],1,1
[ 0.95013112  0.04986881],0,0
[ 0.38376611  0.61623389],1,1
[ 0.49880359  0.50119644],1,0
[ 0.00144108  0.99855894],1,1
[ 0.82171696  0.17828298],0,0
[ 0.6052959  0.3947041],0,0
[ 0.12586638  0.87413365],1,1
[ 0.00211128  0.99788874],1,1
[  9.99212265e-01   7.87667406e-04],0,0
[ 0.01882634  0.98117363],1,1
[ 0.00655136  0.99344867],1,1
[ 0.99763048  0.00236954],0,0
[  9.99757707e-01   2.42350201e-04],0,0
[ 0.95767426  0.04232577],0,0
[ 0.90078557  0.09921446],0,0
[  9.99931693e-01   6.83058461e-05],0,0
[  9.99747813e-01   2.52217753e-04],0,0
[ 0.93304598  0.06695393],0,0
[ 0.98758173  0.01241825],0,0
[ 0.01473721  0.98526275],1,1
[ 0.2626963   0.73730367],1,1
[ 0.99507082  0.00492921],0,0
[ 0.00276249  0.99723744],1,1
[ 0.01438707  0.98561293],1,1
[ 0.02055852  0.97944152],1,1
[  9.99979973e-01   2.00712857e-05],0,0
[ 0.03226256  0.96773738],1,0
[ 0.13249798  0.86750197],1,1
[ 0.82440722  0.17559281],0,0
[ 0.99800175  0.00199825],0,0
[ 0.0054302   0.99456984],1,1
[ 0.01308081  0.98691922],1,1
[ 0.10917015  0.89082986],1,1
[ 0.99739385  0.00260616],0,0
[ 0.99899322  0.00100674],0,0
[ 0.06823729  0.93176264],1,1
[  9.99958515e-01   4.14867245e-05],0,0
[  2.84278562e-04   9.99715745e-01],1,1
[ 0.04295018  0.95704985],1,1
[ 0.0136914   0.98630863],1,1
[ 0.01503972  0.98496026],1,1
[ 0.83367527  0.16632475],0,0
[ 0.00726622  0.99273372],1,1
[ 0.99862599  0.00137397],0,0
[ 0.9777199   0.02228005],0,0
[ 0.91549563  0.0845044 ],0,0
[ 0.92450929  0.07549071],0,0
[ 0.14577743  0.85422254],1,1
[ 0.0421542   0.95784587],1,1
[ 0.00285918  0.99714088],1,1
[ 0.06417706  0.9358229 ],1,1
[ 0.58934098  0.41065896],0,0
[ 0.06528683  0.93471318],1,1
[ 0.60830557  0.39169443],0,0
[  9.99565661e-01   4.34317830e-04],0,0
[ 0.99885523  0.00114471],0,0
[ 0.84317464  0.15682538],0,0
[ 0.99213737  0.00786256],0,0
[  9.99432862e-01   5.67106705e-04],0,0
[  5.11014776e-04   9.99488950e-01],1,1
[ 0.00201108  0.99798894],1,1
[  9.99515653e-01   4.84329852e-04],0,0
[ 0.02009405  0.9799059 ],1,1
[ 0.99861026  0.00138976],0,0
[ 0.00200228  0.9979977 ],1,1
[  5.18362795e-04   9.99481618e-01],1,1
[ 0.80625093  0.19374903],0,0
[ 0.00798247  0.99201751],1,1
[ 0.02414045  0.97585958],1,1
[ 0.0019354   0.99806458],1,1
[ 0.01112753  0.98887247],1,1
[ 0.00369178  0.99630821],1,1
[  9.99772251e-01   2.27733661e-04],0,0
[ 0.08904666  0.9109534 ],1,1
[  9.99816597e-01   1.83471508e-04],0,0
[ 0.80112064  0.19887933],0,0
[  9.99986291e-01   1.36835733e-05],0,0
[ 0.16094531  0.8390547 ],1,1
[ 0.99889368  0.00110631],0,0
[ 0.38543472  0.61456525],1,0
[ 0.99886656  0.00113345],0,0
[ 0.99624759  0.00375237],0,0
[ 0.92187589  0.07812411],0,0
[ 0.78067374  0.2193262 ],0,0
[  9.99822319e-01   1.77732421e-04],0,0
[  9.99766767e-01   2.33258368e-04],0,0
[ 0.00137878  0.99862123],1,1
[ 0.84317446  0.15682551],0,0
[ 0.04232318  0.95767677],1,1
[ 0.19684011  0.80315983],1,1
[ 0.00362249  0.99637753],1,1
[ 0.97169751  0.02830249],0,0
[ 0.99569112  0.00430887],0,0
[  9.99249041e-01   7.50879641e-04],0,0
[ 0.01020508  0.98979491],1,1
[  9.99647379e-01   3.52612522e-04],0,0
[ 0.09473003  0.90526998],1,1
[ 0.04534661  0.95465338],1,1
[  9.99863148e-01   1.36878996e-04],0,0
[ 0.00331717  0.99668282],1,1
[ 0.02467141  0.97532856],1,1
[  3.97542870e-04   9.99602497e-01],1,1
[ 0.33382478  0.66617519],1,1
[ 0.0050083   0.99499172],1,1
[ 0.03589774  0.96410221],1,1
[ 0.59138906  0.40861088],0,1
[ 0.06461498  0.93538505],1,1
[ 0.99769586  0.00230413],0,0
[ 0.02011886  0.97988117],1,1
[  9.99983907e-01   1.61411044e-05],0,0
[ 0.9590292   0.04097086],0,0
[ 0.92888415  0.07111581],0,0
[ 0.70646423  0.29353574],0,0
[ 0.00134034  0.99865961],1,1
[ 0.99268723  0.00731278],0,0
[ 0.97609222  0.02390772],0,0
[ 0.6818403   0.31815976],0,1
[ 0.93685031  0.06314972],0,0
[ 0.05394304  0.94605702],1,1
[ 0.00739173  0.99260825],1,1
[  9.99658823e-01   3.41208826e-04],0,0
[ 0.99114734  0.00885271],0,0
[ 0.00418156  0.99581844],1,1
